Id,Title,Acceptance,Difficulty,Frequency,Link
1121,Divide Array Into Increasing Sequences,57.1%,Hard,0.0,https://leetcode.com/problems/divide-array-into-increasing-sequences
1122,Relative Sort Array,67.6%,Easy,20.9672,https://leetcode.com/problems/relative-sort-array
1123,Lowest Common Ancestor of Deepest Leaves,66.9%,Medium,31.0135,https://leetcode.com/problems/lowest-common-ancestor-of-deepest-leaves
1124,Longest Well-Performing Interval,32.8%,Medium,7.54452,https://leetcode.com/problems/longest-well-performing-interval
1125,Smallest Sufficient Team,46.6%,Hard,10.1777,https://leetcode.com/problems/smallest-sufficient-team
1126,Active Businesses,68.3%,Medium,0.0,https://leetcode.com/problems/active-businesses
1127,User Purchase Platform,49.5%,Hard,6.77602,https://leetcode.com/problems/user-purchase-platform
1128,Number of Equivalent Domino Pairs,47.1%,Easy,3.97367,https://leetcode.com/problems/number-of-equivalent-domino-pairs
1129,Shortest Path with Alternating Colors,39.4%,Medium,4.63732,https://leetcode.com/problems/shortest-path-with-alternating-colors
1130,Minimum Cost Tree From Leaf Values,66.9%,Medium,30.5213,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values
1131,Maximum of Absolute Value Expression,52.8%,Medium,13.1946,https://leetcode.com/problems/maximum-of-absolute-value-expression
1132,Reported Posts II,34.6%,Medium,7.71346,https://leetcode.com/problems/reported-posts-ii
1133,Largest Unique Number,66.9%,Easy,0.0,https://leetcode.com/problems/largest-unique-number
1134,Armstrong Number,78.2%,Easy,0.0,https://leetcode.com/problems/armstrong-number
1135,Connecting Cities With Minimum Cost,58.0%,Medium,5.15436,https://leetcode.com/problems/connecting-cities-with-minimum-cost
1136,Parallel Courses,61.3%,Hard,16.0342,https://leetcode.com/problems/parallel-courses
1137,N-th Tribonacci Number,55.8%,Easy,11.0647,https://leetcode.com/problems/n-th-tribonacci-number
1138,Alphabet Board Path,48.5%,Medium,9.10272,https://leetcode.com/problems/alphabet-board-path
1139,Largest 1-Bordered Square,47.7%,Medium,5.43513,https://leetcode.com/problems/largest-1-bordered-square
1140,Stone Game II,64.0%,Medium,21.8291,https://leetcode.com/problems/stone-game-ii
1141,User Activity for the Past 30 Days I,54.3%,Easy,0.0,https://leetcode.com/problems/user-activity-for-the-past-30-days-i
1142,User Activity for the Past 30 Days II,34.7%,Easy,4.70946,https://leetcode.com/problems/user-activity-for-the-past-30-days-ii
1143,Longest Common Subsequence,58.4%,Medium,36.273,https://leetcode.com/problems/longest-common-subsequence
1144,Decrease Elements To Make Array Zigzag,45.4%,Medium,7.08514,https://leetcode.com/problems/decrease-elements-to-make-array-zigzag
1145,Binary Tree Coloring Game,51.3%,Medium,20.0927,https://leetcode.com/problems/binary-tree-coloring-game
1146,Snapshot Array,37.0%,Medium,31.5015,https://leetcode.com/problems/snapshot-array
1147,Longest Chunked Palindrome Decomposition,58.9%,Hard,3.84534,https://leetcode.com/problems/longest-chunked-palindrome-decomposition
1148,Article Views I,76.1%,Easy,0.0,https://leetcode.com/problems/article-views-i
1149,Article Views II,48.4%,Medium,0.0,https://leetcode.com/problems/article-views-ii
1150,Check If a Number Is Majority Element in a Sorted Array,58.9%,Easy,2.40474,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array
1151,Minimum Swaps to Group All 1's Together,59.4%,Medium,3.67579,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together
1152,Analyze User Website Visit Pattern,43.7%,Medium,56.3788,https://leetcode.com/problems/analyze-user-website-visit-pattern
1153,String Transforms Into Another String,35.8%,Hard,34.1173,https://leetcode.com/problems/string-transforms-into-another-string
1154,Day of the Year,49.3%,Easy,1.70344,https://leetcode.com/problems/day-of-the-year
1155,Number of Dice Rolls With Target Sum,48.6%,Medium,26.5136,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum
1156,Swap For Longest Repeated Character Substring,48.5%,Medium,12.342,https://leetcode.com/problems/swap-for-longest-repeated-character-substring
1157,Online Majority Element In Subarray,39.0%,Hard,4.71613,https://leetcode.com/problems/online-majority-element-in-subarray
1158,Market Analysis I,62.2%,Medium,1.84651,https://leetcode.com/problems/market-analysis-i
1159,Market Analysis II,53.9%,Hard,0.0,https://leetcode.com/problems/market-analysis-ii
1160,Find Words That Can Be Formed by Characters,67.4%,Easy,2.67057,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters
1161,Maximum Level Sum of a Binary Tree,72.4%,Medium,6.97898,https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree
1162,As Far from Land as Possible,43.6%,Medium,19.175,https://leetcode.com/problems/as-far-from-land-as-possible
1163,Last Substring in Lexicographical Order,34.6%,Hard,45.1594,https://leetcode.com/problems/last-substring-in-lexicographical-order
1164,Product Price at a Given Date,66.5%,Medium,1.91421,https://leetcode.com/problems/product-price-at-a-given-date
1165,Single-Row Keyboard,84.7%,Easy,0.0,https://leetcode.com/problems/single-row-keyboard
1166,Design File System,56.9%,Medium,23.9312,https://leetcode.com/problems/design-file-system
1167,Minimum Cost to Connect Sticks,63.2%,Medium,28.1073,https://leetcode.com/problems/minimum-cost-to-connect-sticks
1168,Optimize Water Distribution in a Village,61.7%,Hard,0.0,https://leetcode.com/problems/optimize-water-distribution-in-a-village
1169,Invalid Transactions,31.1%,Medium,21.0681,https://leetcode.com/problems/invalid-transactions
1170,Compare Strings by Frequency of the Smallest Character,58.5%,Easy,8.94667,https://leetcode.com/problems/compare-strings-by-frequency-of-the-smallest-character
1171,Remove Zero Sum Consecutive Nodes from Linked List,41.2%,Medium,7.22812,https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list
1172,Dinner Plate Stacks,38.0%,Hard,14.5274,https://leetcode.com/problems/dinner-plate-stacks
1173,Immediate Food Delivery I,80.8%,Easy,4.39268,https://leetcode.com/problems/immediate-food-delivery-i
1174,Immediate Food Delivery II,58.8%,Medium,0.0,https://leetcode.com/problems/immediate-food-delivery-ii
1175,Prime Arrangements,51.3%,Easy,21.381,https://leetcode.com/problems/prime-arrangements
1176,Diet Plan Performance,53.8%,Easy,0.0,https://leetcode.com/problems/diet-plan-performance
1177,Can Make Palindrome from Substring,34.9%,Medium,12.0808,https://leetcode.com/problems/can-make-palindrome-from-substring
1178,Number of Valid Words for Each Puzzle,38.0%,Hard,0.0,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle
1179,Reformat Department Table,81.1%,Easy,19.3688,https://leetcode.com/problems/reformat-department-table
1180,Count Substrings with Only One Distinct Letter,77.1%,Easy,16.5537,https://leetcode.com/problems/count-substrings-with-only-one-distinct-letter
1181,Before and After Puzzle,44.4%,Medium,0.0,https://leetcode.com/problems/before-and-after-puzzle
1182,Shortest Distance to Target Color,52.7%,Medium,0.0,https://leetcode.com/problems/shortest-distance-to-target-color
1183,Maximum Number of Ones,54.8%,Hard,0.0,https://leetcode.com/problems/maximum-number-of-ones
1184,Distance Between Bus Stops,54.4%,Easy,2.60842,https://leetcode.com/problems/distance-between-bus-stops
1185,Day of the Week,63.8%,Easy,12.4653,https://leetcode.com/problems/day-of-the-week
1186,Maximum Subarray Sum with One Deletion,37.7%,Medium,12.4763,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion
1187,Make Array Strictly Increasing,41.6%,Hard,0.0,https://leetcode.com/problems/make-array-strictly-increasing
1188,Design Bounded Blocking Queue,70.6%,Medium,34.0561,https://leetcode.com/problems/design-bounded-blocking-queue
1189,Maximum Number of Balloons,61.2%,Easy,17.4427,https://leetcode.com/problems/maximum-number-of-balloons
1190,Reverse Substrings Between Each Pair of Parentheses,62.9%,Medium,9.62719,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses
1191,K-Concatenation Maximum Sum,25.8%,Medium,14.3587,https://leetcode.com/problems/k-concatenation-maximum-sum
1192,Critical Connections in a Network,48.6%,Hard,88.0204,https://leetcode.com/problems/critical-connections-in-a-network
1193,Monthly Transactions I,68.4%,Medium,1.97299,https://leetcode.com/problems/monthly-transactions-i
1194,Tournament Winners,52.9%,Hard,0.0,https://leetcode.com/problems/tournament-winners
1195,Fizz Buzz Multithreaded,68.8%,Medium,47.4332,https://leetcode.com/problems/fizz-buzz-multithreaded
1196,How Many Apples Can You Put into the Basket,67.7%,Easy,2.53622,https://leetcode.com/problems/how-many-apples-can-you-put-into-the-basket
1197,Minimum Knight Moves,36.1%,Medium,47.2921,https://leetcode.com/problems/minimum-knight-moves
1198,Find Smallest Common Element in All Rows,74.8%,Medium,4.2363,https://leetcode.com/problems/find-smallest-common-element-in-all-rows
1199,Minimum Time to Build Blocks,37.4%,Hard,0.0,https://leetcode.com/problems/minimum-time-to-build-blocks
1200,Minimum Absolute Difference,66.6%,Easy,12.3735,https://leetcode.com/problems/minimum-absolute-difference
1201,Ugly Number III,26.2%,Medium,1.31066,https://leetcode.com/problems/ugly-number-iii
1202,Smallest String With Swaps,46.8%,Medium,22.9869,https://leetcode.com/problems/smallest-string-with-swaps
1203,Sort Items by Groups Respecting Dependencies,47.9%,Hard,14.5274,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies
1204,Last Person to Fit in the Elevator,70.1%,Medium,0.0,https://leetcode.com/problems/last-person-to-fit-in-the-elevator
1205,Monthly Transactions II,45.4%,Medium,0.0,https://leetcode.com/problems/monthly-transactions-ii
1206,Design Skiplist,57.2%,Hard,14.4855,https://leetcode.com/problems/design-skiplist
1207,Unique Number of Occurrences,71.7%,Easy,3.86316,https://leetcode.com/problems/unique-number-of-occurrences
1208,Get Equal Substrings Within Budget,42.2%,Medium,1.57797,https://leetcode.com/problems/get-equal-substrings-within-budget
1209,Remove All Adjacent Duplicates in String II,57.1%,Medium,43.5101,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii
1210,Minimum Moves to Reach Target with Rotations,45.3%,Hard,0.0,https://leetcode.com/problems/minimum-moves-to-reach-target-with-rotations
1211,Queries Quality and Percentage,68.7%,Easy,0.0,https://leetcode.com/problems/queries-quality-and-percentage
1212,Team Scores in Football Tournament,56.1%,Medium,3.77948,https://leetcode.com/problems/team-scores-in-football-tournament
1213,Intersection of Three Sorted Arrays,78.8%,Easy,10.2493,https://leetcode.com/problems/intersection-of-three-sorted-arrays
1214,Two Sum BSTs,67.7%,Medium,5.02631,https://leetcode.com/problems/two-sum-bsts
1215,Stepping Numbers,41.9%,Medium,13.5133,https://leetcode.com/problems/stepping-numbers
1216,Valid Palindrome III,47.8%,Hard,24.1213,https://leetcode.com/problems/valid-palindrome-iii
1217,Minimum Cost to Move Chips to The Same Position,64.5%,Easy,7.86353,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position
1218,Longest Arithmetic Subsequence of Given Difference,45.0%,Medium,6.5348,https://leetcode.com/problems/longest-arithmetic-subsequence-of-given-difference
1219,Path with Maximum Gold,65.2%,Medium,27.6356,https://leetcode.com/problems/path-with-maximum-gold
1220,Count Vowels Permutation,54.1%,Hard,23.6797,https://leetcode.com/problems/count-vowels-permutation
1221,Split a String in Balanced Strings,83.5%,Easy,9.81427,https://leetcode.com/problems/split-a-string-in-balanced-strings
1222,Queens That Can Attack the King,68.8%,Medium,1.5516,https://leetcode.com/problems/queens-that-can-attack-the-king
1223,Dice Roll Simulation,46.0%,Medium,36.3137,https://leetcode.com/problems/dice-roll-simulation
1224,Maximum Equal Frequency,33.8%,Hard,0.0,https://leetcode.com/problems/maximum-equal-frequency
1225,Report Contiguous Dates,61.8%,Hard,0.0,https://leetcode.com/problems/report-contiguous-dates
1226,The Dining Philosophers,56.0%,Medium,4.51167,https://leetcode.com/problems/the-dining-philosophers
1227,Airplane Seat Assignment Probability,61.3%,Medium,6.82763,https://leetcode.com/problems/airplane-seat-assignment-probability
1228,Missing Number In Arithmetic Progression,52.4%,Easy,9.46985,https://leetcode.com/problems/missing-number-in-arithmetic-progression
1229,Meeting Scheduler,53.1%,Medium,46.1393,https://leetcode.com/problems/meeting-scheduler
1230,Toss Strange Coins,48.9%,Medium,6.69092,https://leetcode.com/problems/toss-strange-coins
1231,Divide Chocolate,52.6%,Hard,20.6955,https://leetcode.com/problems/divide-chocolate
1232,Check If It Is a Straight Line,45.0%,Easy,0.670408,https://leetcode.com/problems/check-if-it-is-a-straight-line
1233,Remove Sub-Folders from the Filesystem,59.9%,Medium,14.3401,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem
1234,Replace the Substring for Balanced String,33.6%,Medium,7.74818,https://leetcode.com/problems/replace-the-substring-for-balanced-string
1235,Maximum Profit in Job Scheduling,44.2%,Hard,49.4442,https://leetcode.com/problems/maximum-profit-in-job-scheduling
1236,Web Crawler,64.3%,Medium,41.1374,https://leetcode.com/problems/web-crawler
1237,Find Positive Integer Solution for a Given Equation,69.3%,Easy,4.60596,https://leetcode.com/problems/find-positive-integer-solution-for-a-given-equation
1238,Circular Permutation in Binary Representation,65.0%,Medium,9.4216,https://leetcode.com/problems/circular-permutation-in-binary-representation
1239,Maximum Length of a Concatenated String with Unique Characters,48.0%,Medium,28.4694,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters
1240,Tiling a Rectangle with the Fewest Squares,50.3%,Hard,37.5999,https://leetcode.com/problems/tiling-a-rectangle-with-the-fewest-squares
1241,Number of Comments per Post,66.8%,Easy,0.0,https://leetcode.com/problems/number-of-comments-per-post
1242,Web Crawler Multithreaded,45.5%,Medium,44.4605,https://leetcode.com/problems/web-crawler-multithreaded
1243,Array Transformation,51.1%,Easy,10.4334,https://leetcode.com/problems/array-transformation
1244,Design A Leaderboard,61.8%,Medium,38.4733,https://leetcode.com/problems/design-a-leaderboard
1245,Tree Diameter,60.2%,Medium,21.882,https://leetcode.com/problems/tree-diameter
1246,Palindrome Removal,45.6%,Hard,16.2391,https://leetcode.com/problems/palindrome-removal
1247,Minimum Swaps to Make Strings Equal,60.4%,Medium,8.58645,https://leetcode.com/problems/minimum-swaps-to-make-strings-equal
1248,Count Number of Nice Subarrays,56.6%,Medium,24.3872,https://leetcode.com/problems/count-number-of-nice-subarrays
1249,Minimum Remove to Make Valid Parentheses,63.0%,Medium,76.027,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses
1250,Check If It Is a Good Array,55.9%,Hard,0.0,https://leetcode.com/problems/check-if-it-is-a-good-array
1251,Average Selling Price,82.0%,Easy,2.52769,https://leetcode.com/problems/average-selling-price
1252,Cells with Odd Values in a Matrix,78.3%,Easy,10.8799,https://leetcode.com/problems/cells-with-odd-values-in-a-matrix
1253,Reconstruct a 2-Row Binary Matrix,40.6%,Medium,3.04511,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix
1254,Number of Closed Islands,60.8%,Medium,30.3654,https://leetcode.com/problems/number-of-closed-islands
1255,Maximum Score Words Formed by Letters,69.0%,Hard,11.9233,https://leetcode.com/problems/maximum-score-words-formed-by-letters
1256,Encode Number,66.4%,Medium,0.0,https://leetcode.com/problems/encode-number
1257,Smallest Common Region,59.2%,Medium,0.0,https://leetcode.com/problems/smallest-common-region
1258,Synonymous Sentences,64.9%,Medium,31.5686,https://leetcode.com/problems/synonymous-sentences
1259,Handshakes That Don't Cross,53.7%,Hard,0.0,https://leetcode.com/problems/handshakes-that-dont-cross
1260,Shift 2D Grid,61.4%,Easy,0.0,https://leetcode.com/problems/shift-2d-grid
1261,Find Elements in a Contaminated Binary Tree,74.3%,Medium,0.0,https://leetcode.com/problems/find-elements-in-a-contaminated-binary-tree
1262,Greatest Sum Divisible by Three,47.5%,Medium,26.6307,https://leetcode.com/problems/greatest-sum-divisible-by-three
1263,Minimum Moves to Move a Box to Their Target Location,42.0%,Hard,10.2024,https://leetcode.com/problems/minimum-moves-to-move-a-box-to-their-target-location
1264,Page Recommendations,68.1%,Medium,0.0,https://leetcode.com/problems/page-recommendations
1265,Print Immutable Linked List in Reverse,94.5%,Medium,9.10832,https://leetcode.com/problems/print-immutable-linked-list-in-reverse
1266,Minimum Time Visiting All Points,79.5%,Easy,24.5307,https://leetcode.com/problems/minimum-time-visiting-all-points
1267,Count Servers that Communicate,57.8%,Medium,18.1876,https://leetcode.com/problems/count-servers-that-communicate
1268,Search Suggestions System,63.6%,Medium,32.0299,https://leetcode.com/problems/search-suggestions-system
1269,Number of Ways to Stay in the Same Place After Some Steps,43.1%,Hard,7.80674,https://leetcode.com/problems/number-of-ways-to-stay-in-the-same-place-after-some-steps
1270,All People Report to the Given Manager,87.5%,Medium,12.5326,https://leetcode.com/problems/all-people-report-to-the-given-manager
1271,Hexspeak,54.3%,Easy,20.3625,https://leetcode.com/problems/hexspeak
1272,Remove Interval,58.7%,Medium,0.0,https://leetcode.com/problems/remove-interval
1273,Delete Tree Nodes,63.6%,Medium,6.14557,https://leetcode.com/problems/delete-tree-nodes
1274,Number of Ships in a Rectangle,65.9%,Hard,35.3368,https://leetcode.com/problems/number-of-ships-in-a-rectangle
1275,Find Winner on a Tic Tac Toe Game,52.9%,Easy,17.9197,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game
1276,Number of Burgers with No Waste of Ingredients,49.7%,Medium,5.12261,https://leetcode.com/problems/number-of-burgers-with-no-waste-of-ingredients
1277,Count Square Submatrices with All Ones,73.2%,Medium,22.8104,https://leetcode.com/problems/count-square-submatrices-with-all-ones
1278,Palindrome Partitioning III,59.8%,Hard,17.2761,https://leetcode.com/problems/palindrome-partitioning-iii
1279,Traffic Light Controlled Intersection,74.4%,Easy,0.0,https://leetcode.com/problems/traffic-light-controlled-intersection
1280,Students and Examinations,72.8%,Easy,0.0,https://leetcode.com/problems/students-and-examinations
1281,Subtract the Product and Sum of Digits of an Integer,85.3%,Easy,10.82,https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer
1282,Group the People Given the Group Size They Belong To,84.0%,Medium,14.1319,https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to
1283,Find the Smallest Divisor Given a Threshold,48.8%,Medium,49.9024,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold
1284,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,69.5%,Hard,4.13127,https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix
1285,Find the Start and End Number of Continuous Ranges,84.4%,Medium,0.0,https://leetcode.com/problems/find-the-start-and-end-number-of-continuous-ranges
1286,Iterator for Combination,70.7%,Medium,2.21221,https://leetcode.com/problems/iterator-for-combination
1287,Element Appearing More Than 25% In Sorted Array,60.3%,Easy,1.51502,https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array
1288,Remove Covered Intervals,57.6%,Medium,0.0,https://leetcode.com/problems/remove-covered-intervals
1289,Minimum Falling Path Sum II,61.3%,Hard,0.0,https://leetcode.com/problems/minimum-falling-path-sum-ii
1290,Convert Binary Number in a Linked List to Integer,80.7%,Easy,21.9859,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer
1291,Sequential Digits,53.4%,Medium,0.0,https://leetcode.com/problems/sequential-digits
1292,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,48.9%,Medium,13.4633,https://leetcode.com/problems/maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold
1293,Shortest Path in a Grid with Obstacles Elimination,42.6%,Hard,31.9372,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination
1294,Weather Type in Each Country,63.5%,Easy,0.0,https://leetcode.com/problems/weather-type-in-each-country
1295,Find Numbers with Even Number of Digits,80.9%,Easy,1.69046,https://leetcode.com/problems/find-numbers-with-even-number-of-digits
1296,Divide Array in Sets of K Consecutive Numbers,54.3%,Medium,23.6462,https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers
1297,Maximum Number of Occurrences of a Substring,47.9%,Medium,22.4643,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring
1298,Maximum Candies You Can Get from Boxes,59.3%,Hard,0.0,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes
1299,Replace Elements with Greatest Element on Right Side,75.1%,Easy,15.0728,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side
1300,Sum of Mutated Array Closest to Target,43.9%,Medium,8.6296,https://leetcode.com/problems/sum-of-mutated-array-closest-to-target
1301,Number of Paths with Max Score,37.5%,Hard,14.4855,https://leetcode.com/problems/number-of-paths-with-max-score
1302,Deepest Leaves Sum,83.7%,Medium,13.9328,https://leetcode.com/problems/deepest-leaves-sum
1303,Find the Team Size,88.1%,Easy,3.35761,https://leetcode.com/problems/find-the-team-size
1304,Find N Unique Integers Sum up to Zero,76.3%,Easy,14.3577,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero
1305,All Elements in Two Binary Search Trees,77.9%,Medium,1.13399,https://leetcode.com/problems/all-elements-in-two-binary-search-trees
1306,Jump Game III,60.5%,Medium,12.3668,https://leetcode.com/problems/jump-game-iii
1307,Verbal Arithmetic Puzzle,38.0%,Hard,8.9328,https://leetcode.com/problems/verbal-arithmetic-puzzle
1308,Running Total for Different Genders,84.8%,Medium,0.0,https://leetcode.com/problems/running-total-for-different-genders
1309,Decrypt String from Alphabet to Integer Mapping,76.7%,Easy,1.82135,https://leetcode.com/problems/decrypt-string-from-alphabet-to-integer-mapping
1310,XOR Queries of a Subarray,68.7%,Medium,10.4855,https://leetcode.com/problems/xor-queries-of-a-subarray
1311,Get Watched Videos by Your Friends,43.6%,Medium,2.31154,https://leetcode.com/problems/get-watched-videos-by-your-friends
1312,Minimum Insertion Steps to Make a String Palindrome,58.3%,Hard,28.7187,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome
1313,Decompress Run-Length Encoded List,85.1%,Easy,14.5378,https://leetcode.com/problems/decompress-run-length-encoded-list
1314,Matrix Block Sum,73.7%,Medium,30.9282,https://leetcode.com/problems/matrix-block-sum
1315,Sum of Nodes with Even-Valued Grandparent,83.4%,Medium,13.6274,https://leetcode.com/problems/sum-of-nodes-with-even-valued-grandparent
1316,Distinct Echo Substrings,46.5%,Hard,0.0,https://leetcode.com/problems/distinct-echo-substrings
1317,Convert Integer to the Sum of Two No-Zero Integers,56.8%,Easy,0.0,https://leetcode.com/problems/convert-integer-to-the-sum-of-two-no-zero-integers
1318,Minimum Flips to Make a OR b Equal to c,62.9%,Medium,0.0,https://leetcode.com/problems/minimum-flips-to-make-a-or-b-equal-to-c
1319,Number of Operations to Make Network Connected,53.7%,Medium,8.42402,https://leetcode.com/problems/number-of-operations-to-make-network-connected
1320,Minimum Distance to Type a Word Using Two Fingers,62.5%,Hard,21.7293,https://leetcode.com/problems/minimum-distance-to-type-a-word-using-two-fingers
1321,Restaurant Growth,68.7%,Medium,2.13979,https://leetcode.com/problems/restaurant-growth
1322,Ads Performance,58.0%,Easy,0.0,https://leetcode.com/problems/ads-performance
1323,Maximum 69 Number,77.9%,Easy,2.94597,https://leetcode.com/problems/maximum-69-number
1324,Print Words Vertically,57.6%,Medium,10.8337,https://leetcode.com/problems/print-words-vertically
1325,Delete Leaves With a Given Value,73.1%,Medium,1.60972,https://leetcode.com/problems/delete-leaves-with-a-given-value
1326,Minimum Number of Taps to Open to Water a Garden,43.9%,Hard,43.3532,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden
1327,List the Products Ordered in a Period,76.5%,Easy,4.21487,https://leetcode.com/problems/list-the-products-ordered-in-a-period
1328,Break a Palindrome,43.8%,Medium,35.6668,https://leetcode.com/problems/break-a-palindrome
1329,Sort the Matrix Diagonally,78.5%,Medium,30.5903,https://leetcode.com/problems/sort-the-matrix-diagonally
1330,Reverse Subarray To Maximize Array Value,35.2%,Hard,6.63734,https://leetcode.com/problems/reverse-subarray-to-maximize-array-value
1331,Rank Transform of an Array,57.7%,Easy,5.88922,https://leetcode.com/problems/rank-transform-of-an-array
1332,Remove Palindromic Subsequences,60.3%,Easy,1.29042,https://leetcode.com/problems/remove-palindromic-subsequences
1333,"Filter Restaurants by Vegan-Friendly, Price and Distance",54.6%,Medium,9.78319,https://leetcode.com/problems/filter-restaurants-by-vegan-friendly-price-and-distance
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,45.0%,Medium,7.32019,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance
1335,Minimum Difficulty of a Job Schedule,57.7%,Hard,12.3284,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule
1336,Number of Transactions per Visit,44.7%,Hard,10.5719,https://leetcode.com/problems/number-of-transactions-per-visit
1337,The K Weakest Rows in a Matrix,68.9%,Easy,3.69403,https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix
1338,Reduce Array Size to The Half,67.0%,Medium,1.05687,https://leetcode.com/problems/reduce-array-size-to-the-half
1339,Maximum Product of Splitted Binary Tree,37.1%,Medium,12.5205,https://leetcode.com/problems/maximum-product-of-splitted-binary-tree
1340,Jump Game V,57.7%,Hard,15.2809,https://leetcode.com/problems/jump-game-v
1341,Movie Rating,57.2%,Medium,4.79462,https://leetcode.com/problems/movie-rating
1342,Number of Steps to Reduce a Number to Zero,86.2%,Easy,16.5963,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero
1343,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,64.1%,Medium,1.84651,https://leetcode.com/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold
1344,Angle Between Hands of a Clock,61.3%,Medium,45.8311,https://leetcode.com/problems/angle-between-hands-of-a-clock
1345,Jump Game IV,38.7%,Hard,18.3692,https://leetcode.com/problems/jump-game-iv
1346,Check If N and Its Double Exist,37.5%,Easy,0.430314,https://leetcode.com/problems/check-if-n-and-its-double-exist
1347,Minimum Number of Steps to Make Two Strings Anagram,74.7%,Medium,11.409,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram
1348,Tweet Counts Per Frequency,29.3%,Medium,6.91425,https://leetcode.com/problems/tweet-counts-per-frequency
1349,Maximum Students Taking Exam,42.7%,Hard,7.08514,https://leetcode.com/problems/maximum-students-taking-exam
1350,Students With Invalid Departments,89.4%,Easy,4.21402,https://leetcode.com/problems/students-with-invalid-departments
1351,Count Negative Numbers in a Sorted Matrix,76.5%,Easy,8.95984,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix
1352,Product of the Last K Numbers,44.0%,Medium,4.48132,https://leetcode.com/problems/product-of-the-last-k-numbers
1353,Maximum Number of Events That Can Be Attended,30.3%,Medium,13.3047,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
1354,Construct Target Array With Multiple Sums,31.7%,Hard,0.0,https://leetcode.com/problems/construct-target-array-with-multiple-sums
1355,Activity Participants,70.9%,Medium,7.46821,https://leetcode.com/problems/activity-participants
1356,Sort Integers by The Number of 1 Bits,68.6%,Easy,4.5412,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits
1357,Apply Discount Every n Orders,66.1%,Medium,0.0,https://leetcode.com/problems/apply-discount-every-n-orders
1358,Number of Substrings Containing All Three Characters,58.5%,Medium,33.4498,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters
1359,Count All Valid Pickup and Delivery Options,58.1%,Hard,13.0256,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options
1360,Number of Days Between Two Dates,48.3%,Easy,18.352,https://leetcode.com/problems/number-of-days-between-two-dates
1361,Validate Binary Tree Nodes,47.6%,Medium,2.80306,https://leetcode.com/problems/validate-binary-tree-nodes
1362,Closest Divisors,56.9%,Medium,0.0,https://leetcode.com/problems/closest-divisors
1363,Largest Multiple of Three,33.5%,Hard,19.0449,https://leetcode.com/problems/largest-multiple-of-three
1364,Number of Trusted Contacts of a Customer,76.4%,Medium,0.0,https://leetcode.com/problems/number-of-trusted-contacts-of-a-customer
